mr,ref
"day[2 9], month[10], year[2013]","The date is _MStart_ October _MEnd_ _nDStart_ twenty nine _nDEnd_ , 2013 .","-1 -1 -1 2 2 2 0 0 0 0 4 3 -1"
"day[0 7], month[1], year[2006]","The date is _MStart_ January _MEnd_ _nDStart_ seven _nDEnd_ , 2006 .","-1 -1 -1 2 2 2 0 0 0 4 3 -1"
"day[1 6], month[2], year[2001]","It is _nDStart_ sixteen _nDEnd_ _MStart_ February _MEnd_ 2001 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[1 9], month[12], year[2008]","Today is _MStart_ December _MEnd_ _nDStart_ nineteen _nDEnd_ in the year 2008 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[1 9], month[12], year[2015]","The date is the _oDStart_ nineteenth _oDEnd_ of _MStart_ December _MEnd_ , 2015 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 0], month[4], year[2010]","The date is the _oDStart_ twentieth _oDEnd_ of _MStart_ April _MEnd_ , 2010 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[1 4], month[3], year[2011]","Today is _MStart_ March _MEnd_ the _oDStart_ fourteenth _oDEnd_ , 2011 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[2 6], month[4], year[2009]","The date is the _oDStart_ twenty sixth _oDEnd_ of _MStart_ April _MEnd_ in the year 2009 .","-1 -1 -1 -1 1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[2 2], month[10], year[2013]","Today is _MStart_ October _MEnd_ the _oDStart_ twenty second _oDEnd_ , 2013 .","-1 -1 2 2 2 -1 1 1 1 1 4 3 -1"
"day[0 6], month[3], year[2012]","The date is _MStart_ March _MEnd_ the _oDStart_ sixth _oDEnd_ of the year 2012 .","-1 -1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[0 1], month[4], year[2012]","The date is _MStart_ April _MEnd_ _nDStart_ one _nDEnd_ in the year 2012 .","-1 -1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[2 8], month[4], year[2008]","It is _nDStart_ twenty eight _nDEnd_ _MStart_ April _MEnd_ 2008 .","-1 -1 0 0 0 0 2 2 2 3 -1"
"day[0 7], month[8], year[2008]","Today is _MStart_ August _MEnd_ _nDStart_ seven _nDEnd_ , 2008 .","-1 -1 2 2 2 0 0 0 4 3 -1"
"day[0 1], month[11], year[2001]","Today is _MStart_ November _MEnd_ _nDStart_ one _nDEnd_ , 2001 .","-1 -1 2 2 2 0 0 0 4 3 -1"
"day[0 9], month[4], year[2006]","Today is _nDStart_ nine _nDEnd_ _MStart_ April _MEnd_ 2006 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[2 7], month[3], year[2006]","The date is _MStart_ March _MEnd_ the _oDStart_ twenty seventh _oDEnd_ , 2006 .","-1 -1 -1 2 2 2 -1 1 1 1 1 4 3 -1"
"day[1 1], month[11], year[2015]","It is the _oDStart_ eleventh _oDEnd_ of _MStart_ November _MEnd_ in the year 2015 .","-1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[2 4], month[6], year[2012]","It is _MStart_ June _MEnd_ _nDStart_ twenty four _nDEnd_ , 2012 .","-1 -1 2 2 2 0 0 0 0 4 3 -1"
"day[2 9], month[10], year[2016]","The date is the _oDStart_ twenty ninth _oDEnd_ of _MStart_ October _MEnd_ in the year 2016 .","-1 -1 -1 -1 1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 2], month[8], year[2019]","It is _MStart_ August _MEnd_ the _oDStart_ second _oDEnd_ of the year 2019 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[1 8], month[8], year[2016]","It is the _oDStart_ eighteenth _oDEnd_ of _MStart_ August _MEnd_ , 2016 .","-1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 8], month[8], year[2017]","The date is the _oDStart_ twenty eighth _oDEnd_ of _MStart_ August _MEnd_ in the year 2017 .","-1 -1 -1 -1 1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 3], month[4], year[2000]","It is _nDStart_ three _nDEnd_ _MStart_ April _MEnd_ of the year 2000 .","-1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[0 5], month[4], year[2002]","It is _MStart_ April _MEnd_ _nDStart_ five _nDEnd_ , 2002 .","-1 -1 2 2 2 0 0 0 4 3 -1"
"day[3 1], month[5], year[2018]","Today is the _oDStart_ thirty first _oDEnd_ of _MStart_ May _MEnd_ , 2018 .","-1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 3], month[9], year[2018]","Today is _MStart_ September _MEnd_ the _oDStart_ twenty third _oDEnd_ of the year 2018 .","-1 -1 2 2 2 -1 1 1 1 1 5 -1 -1 3 -1"
"day[2 7], month[2], year[2012]","The date is the _oDStart_ twenty seventh _oDEnd_ of _MStart_ February _MEnd_ , 2012 .","-1 -1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[1 2], month[11], year[2014]","Today is _nDStart_ twelve _nDEnd_ _MStart_ November _MEnd_ 2014 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[2 3], month[7], year[2003]","The date is _MStart_ July _MEnd_ the _oDStart_ twenty third _oDEnd_ of the year 2003 .","-1 -1 -1 2 2 2 -1 1 1 1 1 5 -1 -1 3 -1"
"day[0 5], month[9], year[2019]","Today is _nDStart_ five _nDEnd_ _MStart_ September _MEnd_ of the year 2019 .","-1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[1 7], month[1], year[2018]","It is the _oDStart_ seventeenth _oDEnd_ of _MStart_ January _MEnd_ in the year 2018 .","-1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 2], month[6], year[2013]","It is _MStart_ June _MEnd_ the _oDStart_ second _oDEnd_ , 2013 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[0 6], month[10], year[2011]","The date is _nDStart_ six _nDEnd_ _MStart_ October _MEnd_ of the year 2011 .","-1 -1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[0 5], month[4], year[2019]","It is _nDStart_ five _nDEnd_ _MStart_ April _MEnd_ 2019 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[1 6], month[9], year[2000]","It is _MStart_ September _MEnd_ _nDStart_ sixteen _nDEnd_ , 2000 .","-1 -1 2 2 2 0 0 0 4 3 -1"
"day[2 9], month[2], year[2002]","Today is the _oDStart_ twenty ninth _oDEnd_ of _MStart_ February _MEnd_ , 2002 .","-1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[0 1], month[3], year[2002]","Today is _nDStart_ one _nDEnd_ _MStart_ March _MEnd_ of the year 2002 .","-1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[3 1], month[6], year[2007]","The date is _MStart_ June _MEnd_ _nDStart_ thirty one _nDEnd_ in the year 2007 .","-1 -1 -1 2 2 2 0 0 0 0 6 -1 -1 3 -1"
"day[2 8], month[8], year[2020]","Today is _nDStart_ twenty eight _nDEnd_ _MStart_ August _MEnd_ of the year 2020 .","-1 -1 0 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[2 4], month[4], year[2001]","Today is the _oDStart_ twenty fourth _oDEnd_ of _MStart_ April _MEnd_ , 2001 .","-1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[1 3], month[1], year[2015]","It is _nDStart_ thirteen _nDEnd_ _MStart_ January _MEnd_ of the year 2015 .","-1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[2 1], month[5], year[2013]","The date is the _oDStart_ twenty first _oDEnd_ of _MStart_ May _MEnd_ , 2013 .","-1 -1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 1], month[12], year[2020]","The date is _MStart_ December _MEnd_ the _oDStart_ twenty first _oDEnd_ of the year 2020 .","-1 -1 -1 2 2 2 -1 1 1 1 1 5 -1 -1 3 -1"
"day[1 6], month[5], year[2018]","It is the _oDStart_ sixteenth _oDEnd_ of _MStart_ May _MEnd_ , 2018 .","-1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 9], month[7], year[2008]","The date is _nDStart_ twenty nine _nDEnd_ _MStart_ July _MEnd_ 2008 .","-1 -1 -1 0 0 0 0 2 2 2 3 -1"
"day[2 1], month[2], year[2017]","It is the _oDStart_ twenty first _oDEnd_ of _MStart_ February _MEnd_ in the year 2017 .","-1 -1 -1 1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 2], month[9], year[2013]","Today is _MStart_ September _MEnd_ _nDStart_ two _nDEnd_ , 2013 .","-1 -1 2 2 2 0 0 0 4 3 -1"
"day[0 9], month[12], year[2017]","The date is the _oDStart_ ninth _oDEnd_ of _MStart_ December _MEnd_ , 2017 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 7], month[4], year[2010]","The date is _MStart_ April _MEnd_ _nDStart_ twenty seven _nDEnd_ , 2010 .","-1 -1 -1 2 2 2 0 0 0 0 4 3 -1"
"day[0 7], month[2], year[2015]","Today is the _oDStart_ seventh _oDEnd_ of _MStart_ February _MEnd_ , 2015 .","-1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[0 9], month[8], year[2020]","Today is the _oDStart_ ninth _oDEnd_ of _MStart_ August _MEnd_ , 2020 .","-1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 4], month[8], year[2017]","Today is _MStart_ August _MEnd_ the _oDStart_ twenty fourth _oDEnd_ , 2017 .","-1 -1 2 2 2 -1 1 1 1 1 4 3 -1"
"day[1 0], month[12], year[2009]","Today is _nDStart_ ten _nDEnd_ _MStart_ December _MEnd_ 2009 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[1 6], month[4], year[2001]","Today is the _oDStart_ sixteenth _oDEnd_ of _MStart_ April _MEnd_ in the year 2001 .","-1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[2 9], month[3], year[2002]","The date is _nDStart_ twenty nine _nDEnd_ _MStart_ March _MEnd_ of the year 2002 .","-1 -1 -1 0 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[0 9], month[2], year[2014]","It is _MStart_ February _MEnd_ _nDStart_ nine _nDEnd_ in the year 2014 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[1 2], month[12], year[2008]","It is _MStart_ December _MEnd_ _nDStart_ twelve _nDEnd_ in the year 2008 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[2 8], month[2], year[2011]","It is _nDStart_ twenty eight _nDEnd_ _MStart_ February _MEnd_ 2011 .","-1 -1 0 0 0 0 2 2 2 3 -1"
"day[2 9], month[7], year[2005]","Today is the _oDStart_ twenty ninth _oDEnd_ of _MStart_ July _MEnd_ , 2005 .","-1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[0 6], month[10], year[2008]","Today is _nDStart_ six _nDEnd_ _MStart_ October _MEnd_ 2008 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[2 2], month[10], year[2016]","The date is _MStart_ October _MEnd_ the _oDStart_ twenty second _oDEnd_ , 2016 .","-1 -1 -1 2 2 2 -1 1 1 1 1 4 3 -1"
"day[1 3], month[11], year[2012]","It is _MStart_ November _MEnd_ the _oDStart_ thirteenth _oDEnd_ , 2012 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[0 7], month[5], year[2005]","The date is _MStart_ May _MEnd_ _nDStart_ seven _nDEnd_ in the year 2005 .","-1 -1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[1 0], month[8], year[2013]","The date is _MStart_ August _MEnd_ _nDStart_ ten _nDEnd_ in the year 2013 .","-1 -1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[0 7], month[3], year[2010]","Today is _MStart_ March _MEnd_ _nDStart_ seven _nDEnd_ , 2010 .","-1 -1 2 2 2 0 0 0 4 3 -1"
"day[0 7], month[1], year[2010]","It is _MStart_ January _MEnd_ _nDStart_ seven _nDEnd_ in the year 2010 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[0 7], month[4], year[2012]","It is _MStart_ April _MEnd_ _nDStart_ seven _nDEnd_ , 2012 .","-1 -1 2 2 2 0 0 0 4 3 -1"
"day[3 1], month[2], year[2004]","It is _nDStart_ thirty one _nDEnd_ _MStart_ February _MEnd_ of the year 2004 .","-1 -1 0 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[0 7], month[10], year[2016]","It is _MStart_ October _MEnd_ the _oDStart_ seventh _oDEnd_ of the year 2016 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[1 6], month[6], year[2010]","It is _nDStart_ sixteen _nDEnd_ _MStart_ June _MEnd_ of the year 2010 .","-1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[0 7], month[3], year[2001]","It is _nDStart_ seven _nDEnd_ _MStart_ March _MEnd_ 2001 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[1 4], month[8], year[2001]","Today is _MStart_ August _MEnd_ the _oDStart_ fourteenth _oDEnd_ , 2001 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[2 4], month[9], year[2020]","It is _MStart_ September _MEnd_ _nDStart_ twenty four _nDEnd_ , 2020 .","-1 -1 2 2 2 0 0 0 0 4 3 -1"
"day[1 0], month[10], year[2011]","It is _MStart_ October _MEnd_ the _oDStart_ tenth _oDEnd_ of the year 2011 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[2 6], month[7], year[2012]","The date is the _oDStart_ twenty sixth _oDEnd_ of _MStart_ July _MEnd_ , 2012 .","-1 -1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[0 8], month[6], year[2007]","The date is _MStart_ June _MEnd_ the _oDStart_ eighth _oDEnd_ of the year 2007 .","-1 -1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[2 3], month[1], year[2007]","Today is _MStart_ January _MEnd_ _nDStart_ twenty three _nDEnd_ in the year 2007 .","-1 -1 2 2 2 0 0 0 0 6 -1 -1 3 -1"
"day[3 0], month[4], year[2017]","Today is _MStart_ April _MEnd_ the _oDStart_ thirtieth _oDEnd_ , 2017 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[2 1], month[9], year[2001]","The date is the _oDStart_ twenty first _oDEnd_ of _MStart_ September _MEnd_ in the year 2001 .","-1 -1 -1 -1 1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[2 8], month[2], year[2019]","Today is _MStart_ February _MEnd_ _nDStart_ twenty eight _nDEnd_ , 2019 .","-1 -1 2 2 2 0 0 0 0 4 3 -1"
"day[0 2], month[9], year[2005]","The date is the _oDStart_ second _oDEnd_ of _MStart_ September _MEnd_ in the year 2005 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[1 0], month[6], year[2009]","The date is _nDStart_ ten _nDEnd_ _MStart_ June _MEnd_ of the year 2009 .","-1 -1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[0 2], month[11], year[2003]","The date is the _oDStart_ second _oDEnd_ of _MStart_ November _MEnd_ in the year 2003 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 9], month[7], year[2015]","Today is _MStart_ July _MEnd_ the _oDStart_ ninth _oDEnd_ of the year 2015 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[1 8], month[7], year[2010]","Today is _MStart_ July _MEnd_ _nDStart_ eighteen _nDEnd_ in the year 2010 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[2 6], month[12], year[2012]","The date is the _oDStart_ twenty sixth _oDEnd_ of _MStart_ December _MEnd_ , 2012 .","-1 -1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[1 5], month[7], year[2000]","It is _MStart_ July _MEnd_ the _oDStart_ fifteenth _oDEnd_ , 2000 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[0 9], month[11], year[2002]","Today is _MStart_ November _MEnd_ the _oDStart_ ninth _oDEnd_ , 2002 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[0 8], month[2], year[2011]","It is _MStart_ February _MEnd_ the _oDStart_ eighth _oDEnd_ , 2011 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[2 8], month[4], year[2013]","The date is _nDStart_ twenty eight _nDEnd_ _MStart_ April _MEnd_ of the year 2013 .","-1 -1 -1 0 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[0 7], month[3], year[2017]","The date is _MStart_ March _MEnd_ the _oDStart_ seventh _oDEnd_ of the year 2017 .","-1 -1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[2 4], month[12], year[2018]","Today is _MStart_ December _MEnd_ _nDStart_ twenty four _nDEnd_ , 2018 .","-1 -1 2 2 2 0 0 0 0 4 3 -1"
"day[1 3], month[8], year[2018]","The date is the _oDStart_ thirteenth _oDEnd_ of _MStart_ August _MEnd_ in the year 2018 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[2 2], month[4], year[2019]","The date is _nDStart_ twenty two _nDEnd_ _MStart_ April _MEnd_ of the year 2019 .","-1 -1 -1 0 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[1 9], month[11], year[2004]","The date is the _oDStart_ nineteenth _oDEnd_ of _MStart_ November _MEnd_ in the year 2004 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 2], month[8], year[2004]","It is _MStart_ August _MEnd_ _nDStart_ two _nDEnd_ in the year 2004 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[0 5], month[10], year[2008]","The date is the _oDStart_ fifth _oDEnd_ of _MStart_ October _MEnd_ in the year 2008 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[3 0], month[8], year[2020]","Today is _MStart_ August _MEnd_ the _oDStart_ thirtieth _oDEnd_ of the year 2020 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[1 1], month[5], year[2012]","The date is _MStart_ May _MEnd_ _nDStart_ eleven _nDEnd_ , 2012 .","-1 -1 -1 2 2 2 0 0 0 4 3 -1"
"day[2 6], month[1], year[2003]","It is _nDStart_ twenty six _nDEnd_ _MStart_ January _MEnd_ of the year 2003 .","-1 -1 0 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[2 8], month[7], year[2008]","The date is _MStart_ July _MEnd_ the _oDStart_ twenty eighth _oDEnd_ , 2008 .","-1 -1 -1 2 2 2 -1 1 1 1 1 4 3 -1"
"day[1 4], month[7], year[2012]","The date is _nDStart_ fourteen _nDEnd_ _MStart_ July _MEnd_ 2012 .","-1 -1 -1 0 0 0 2 2 2 3 -1"
"day[0 9], month[12], year[2008]","The date is _MStart_ December _MEnd_ the _oDStart_ ninth _oDEnd_ of the year 2008 .","-1 -1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[2 4], month[3], year[2009]","The date is _MStart_ March _MEnd_ the _oDStart_ twenty fourth _oDEnd_ of the year 2009 .","-1 -1 -1 2 2 2 -1 1 1 1 1 5 -1 -1 3 -1"
"day[2 3], month[9], year[2014]","It is _MStart_ September _MEnd_ _nDStart_ twenty three _nDEnd_ in the year 2014 .","-1 -1 2 2 2 0 0 0 0 6 -1 -1 3 -1"
"day[2 9], month[11], year[2000]","The date is _MStart_ November _MEnd_ the _oDStart_ twenty ninth _oDEnd_ of the year 2000 .","-1 -1 -1 2 2 2 -1 1 1 1 1 5 -1 -1 3 -1"
"day[0 8], month[1], year[2002]","Today is the _oDStart_ eighth _oDEnd_ of _MStart_ January _MEnd_ in the year 2002 .","-1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 6], month[7], year[2008]","It is _MStart_ July _MEnd_ _nDStart_ six _nDEnd_ in the year 2008 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[1 6], month[2], year[2008]","The date is _nDStart_ sixteen _nDEnd_ _MStart_ February _MEnd_ of the year 2008 .","-1 -1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[2 4], month[10], year[2010]","It is the _oDStart_ twenty fourth _oDEnd_ of _MStart_ October _MEnd_ , 2010 .","-1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[3 1], month[4], year[2008]","Today is _nDStart_ thirty one _nDEnd_ _MStart_ April _MEnd_ of the year 2008 .","-1 -1 0 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[2 5], month[4], year[2015]","It is the _oDStart_ twenty fifth _oDEnd_ of _MStart_ April _MEnd_ in the year 2015 .","-1 -1 -1 1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[1 0], month[2], year[2005]","Today is _MStart_ February _MEnd_ the _oDStart_ tenth _oDEnd_ , 2005 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[1 7], month[9], year[2017]","The date is _nDStart_ seventeen _nDEnd_ _MStart_ September _MEnd_ of the year 2017 .","-1 -1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[2 5], month[3], year[2003]","It is _MStart_ March _MEnd_ _nDStart_ twenty five _nDEnd_ , 2003 .","-1 -1 2 2 2 0 0 0 0 4 3 -1"
"day[1 4], month[1], year[2007]","Today is the _oDStart_ fourteenth _oDEnd_ of _MStart_ January _MEnd_ , 2007 .","-1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[1 6], month[2], year[2003]","It is _nDStart_ sixteen _nDEnd_ _MStart_ February _MEnd_ of the year 2003 .","-1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[1 6], month[12], year[2006]","Today is _nDStart_ sixteen _nDEnd_ _MStart_ December _MEnd_ 2006 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[1 1], month[11], year[2004]","Today is _MStart_ November _MEnd_ the _oDStart_ eleventh _oDEnd_ of the year 2004 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[1 1], month[2], year[2011]","Today is the _oDStart_ eleventh _oDEnd_ of _MStart_ February _MEnd_ , 2011 .","-1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 4], month[2], year[2002]","It is the _oDStart_ twenty fourth _oDEnd_ of _MStart_ February _MEnd_ , 2002 .","-1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[2 9], month[10], year[2014]","The date is _MStart_ October _MEnd_ the _oDStart_ twenty ninth _oDEnd_ of the year 2014 .","-1 -1 -1 2 2 2 -1 1 1 1 1 5 -1 -1 3 -1"
"day[2 8], month[3], year[2017]","Today is _MStart_ March _MEnd_ the _oDStart_ twenty eighth _oDEnd_ of the year 2017 .","-1 -1 2 2 2 -1 1 1 1 1 5 -1 -1 3 -1"
"day[1 2], month[2], year[2018]","It is _nDStart_ twelve _nDEnd_ _MStart_ February _MEnd_ 2018 .","-1 -1 0 0 0 2 2 2 3 -1"
"day[2 7], month[4], year[2007]","The date is _MStart_ April _MEnd_ the _oDStart_ twenty seventh _oDEnd_ , 2007 .","-1 -1 -1 2 2 2 -1 1 1 1 1 4 3 -1"
"day[0 6], month[6], year[2005]","Today is _MStart_ June _MEnd_ the _oDStart_ sixth _oDEnd_ , 2005 .","-1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[0 9], month[5], year[2015]","The date is _MStart_ May _MEnd_ the _oDStart_ ninth _oDEnd_ , 2015 .","-1 -1 -1 2 2 2 -1 1 1 1 4 3 -1"
"day[1 5], month[9], year[2000]","The date is the _oDStart_ fifteenth _oDEnd_ of _MStart_ September _MEnd_ , 2000 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[1 7], month[1], year[2013]","It is _nDStart_ seventeen _nDEnd_ _MStart_ January _MEnd_ of the year 2013 .","-1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[1 0], month[12], year[2000]","It is _nDStart_ ten _nDEnd_ _MStart_ December _MEnd_ of the year 2000 .","-1 -1 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[2 8], month[8], year[2006]","Today is _nDStart_ twenty eight _nDEnd_ _MStart_ August _MEnd_ of the year 2006 .","-1 -1 0 0 0 0 2 2 2 5 -1 -1 3 -1"
"day[0 9], month[12], year[2019]","It is _MStart_ December _MEnd_ _nDStart_ nine _nDEnd_ in the year 2019 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[1 8], month[4], year[2006]","Today is _MStart_ April _MEnd_ _nDStart_ eighteen _nDEnd_ in the year 2006 .","-1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[2 0], month[8], year[2012]","The date is _MStart_ August _MEnd_ _nDStart_ twenty _nDEnd_ in the year 2012 .","-1 -1 -1 2 2 2 0 0 0 6 -1 -1 3 -1"
"day[0 1], month[5], year[2000]","The date is the _oDStart_ first _oDEnd_ of _MStart_ May _MEnd_ , 2000 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[0 9], month[9], year[2020]","The date is the _oDStart_ ninth _oDEnd_ of _MStart_ September _MEnd_ , 2020 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[0 3], month[9], year[2020]","Today is _MStart_ September _MEnd_ the _oDStart_ third _oDEnd_ of the year 2020 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[2 0], month[5], year[2014]","Today is _MStart_ May _MEnd_ _nDStart_ twenty _nDEnd_ , 2014 .","-1 -1 2 2 2 0 0 0 4 3 -1"
"day[1 3], month[1], year[2001]","It is the _oDStart_ thirteenth _oDEnd_ of _MStart_ January _MEnd_ , 2001 .","-1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[1 5], month[6], year[2008]","The date is the _oDStart_ fifteenth _oDEnd_ of _MStart_ June _MEnd_ , 2008 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 4 3 -1"
"day[0 7], month[1], year[2006]","The date is the _oDStart_ seventh _oDEnd_ of _MStart_ January _MEnd_ in the year 2006 .","-1 -1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[2 3], month[8], year[2005]","It is the _oDStart_ twenty third _oDEnd_ of _MStart_ August _MEnd_ , 2005 .","-1 -1 -1 1 1 1 1 -1 2 2 2 4 3 -1"
"day[1 1], month[2], year[2010]","Today is _MStart_ February _MEnd_ the _oDStart_ eleventh _oDEnd_ of the year 2010 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
"day[2 9], month[6], year[2002]","It is _MStart_ June _MEnd_ the _oDStart_ twenty ninth _oDEnd_ , 2002 .","-1 -1 2 2 2 -1 1 1 1 1 4 3 -1"
"day[1 3], month[12], year[2019]","It is the _oDStart_ thirteenth _oDEnd_ of _MStart_ December _MEnd_ in the year 2019 .","-1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 3], month[9], year[2008]","Today is the _oDStart_ third _oDEnd_ of _MStart_ September _MEnd_ in the year 2008 .","-1 -1 -1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[2 6], month[7], year[2002]","It is the _oDStart_ twenty sixth _oDEnd_ of _MStart_ July _MEnd_ in the year 2002 .","-1 -1 -1 1 1 1 1 -1 2 2 2 6 -1 -1 3 -1"
"day[0 9], month[2], year[2003]","It is _MStart_ February _MEnd_ the _oDStart_ ninth _oDEnd_ of the year 2003 .","-1 -1 2 2 2 -1 1 1 1 5 -1 -1 3 -1"
